problem_name,optimizer,batch,learning_rate,architecture,epochs_ran,test_metric
classification,sgd,16,0.1,A1,100,0.9851851851851852
classification,sgd,64,0.1,A1,100,0.9851851851851852
classification,sgd,16,0.001,A1,100,0.5481481481481482
classification,sgd,64,0.001,A1,100,0.5481481481481482
classification,momentum,16,0.1,A1,100,0.9851851851851852
classification,momentum,64,0.1,A1,100,0.9851851851851852
classification,momentum,16,0.001,A1,100,0.5481481481481482
classification,momentum,64,0.001,A1,100,0.5481481481481482
classification,adabelief,16,0.1,A1,30,0.9925925925925926
classification,adabelief,64,0.1,A1,60,0.9962962962962963
classification,adabelief,16,0.001,A1,100,0.9851851851851852
classification,adabelief,64,0.001,A1,100,0.9851851851851852
classification,sgd,16,0.1,A2,100,0.9962962962962963
classification,sgd,64,0.1,A2,100,0.9925925925925926
classification,sgd,16,0.001,A2,100,0.8222222222222222
classification,sgd,64,0.001,A2,100,0.5518518518518518
classification,momentum,16,0.1,A2,85,0.9962962962962963
classification,momentum,64,0.1,A2,100,0.9888888888888889
classification,momentum,16,0.001,A2,100,0.8185185185185185
classification,momentum,64,0.001,A2,100,0.5481481481481482
classification,adabelief,16,0.1,A2,30,0.9888888888888889
classification,adabelief,64,0.1,A2,55,0.9962962962962963
classification,adabelief,16,0.001,A2,96,0.9962962962962963
classification,adabelief,64,0.001,A2,86,0.9962962962962963
regression,sgd,16,0.1,A1,92,0.7175573281772559
regression,sgd,64,0.1,A1,40,2.213251893461943
regression,sgd,16,0.001,A1,100,2.0627918139317325
regression,sgd,64,0.001,A1,100,2.1614490796522334
regression,momentum,16,0.1,A1,93,0.7949022233663303
regression,momentum,64,0.1,A1,100,1.4462185208568403
regression,momentum,16,0.001,A1,100,2.0629113170721944
regression,momentum,64,0.001,A1,100,2.1630755340666354
regression,adabelief,16,0.1,A1,79,0.6462606577091737
regression,adabelief,64,0.1,A1,100,1.245523803716112
regression,adabelief,16,0.001,A1,100,2.0429622833671757
regression,adabelief,64,0.001,A1,100,2.091994259279168
regression,sgd,16,0.1,A2,30,22.068376623376626
regression,sgd,64,0.1,A2,30,22.068376623376626
regression,sgd,16,0.001,A2,100,1.3160810477939295
regression,sgd,64,0.001,A2,61,1.9356820227391678
regression,momentum,16,0.1,A2,30,22.068376623376626
regression,momentum,64,0.1,A2,30,22.068376623376626
regression,momentum,16,0.001,A2,100,1.324686327710771
regression,momentum,64,0.001,A2,64,1.8928935355917365
regression,adabelief,16,0.1,A2,54,0.8965892807490217
regression,adabelief,64,0.1,A2,30,22.059123464348207
regression,adabelief,16,0.001,A2,100,1.6716458480536813
regression,adabelief,64,0.001,A2,100,1.8841233119881349
